#"temperature_average" "density_average" "mass_flow_average:0" "mass_flow_average:1" "Points:0" "Points:1"
0.79758 1.2594 0.0024562 -0.0033768 10 8
0.80768 1.2437 0.002683 -0.00309 11 8
0.81859 1.2272 0.002904 -0.0027911 12 8
0.83026 1.21 0.0031175 -0.0024839 13 8
0.84266 1.1923 0.0033218 -0.002172 14 8
0.85573 1.1741 0.0035156 -0.0018588 15 8
0.86943 1.1557 0.0036972 -0.0015476 16 8
0.88369 1.1371 0.003865 -0.001241 17 8
0.89848 1.1185 0.0040174 -0.00094127 18 8
0.91371 1.0999 0.004153 -0.00065002 19 8
0.92935 1.0815 0.0042708 -0.00036853 20 8
0.94531 1.0633 0.0043698 -9.7814e-05 21 8
0.96155 1.0454 0.0044494 0.00016131 22 8
0.97798 1.0279 0.0045089 0.00040831 23 8
0.99455 1.0109 0.0045481 0.0006428 24 8
1.0112 0.99433 0.0045669 0.00086477 25 8
1.0278 0.9783 0.0045653 0.0010743 26 8
1.0444 0.96285 0.0045429 0.0012715 27 8
1.0609 0.94799 0.0045003 0.0014569 28 8
1.0771 0.93376 0.0044383 0.0016309 29 8
1.0931 0.92017 0.0043575 0.0017938 30 8
1.1088 0.90723 0.0042583 0.0019455 31 8
1.1241 0.89496 0.0041413 0.0020865 32 8
1.1389 0.88337 0.0040073 0.0022171 33 8
1.1532 0.87246 0.0038573 0.0023377 34 8
1.167 0.86223 0.0036919 0.0024487 35 8
1.1801 0.85268 0.003512 0.0025504 36 8
1.1926 0.84382 0.0033185 0.0026432 37 8
1.2044 0.83563 0.0031123 0.0027275 38 8
1.2154 0.82812 0.0028944 0.0028035 39 8
1.2255 0.82128 0.0026657 0.0028717 40 8
1.2349 0.81511 0.0024275 0.0029323 41 8
1.2433 0.80961 0.002181 0.0029857 42 8
1.2508 0.80476 0.0019266 0.0030322 43 8
1.2574 0.80057 0.0016651 0.0030724 44 8
1.2631 0.79703 0.0013968 0.0031068 45 8
1.2677 0.79414 0.001122 0.0031354 46 8
1.2713 0.7919 0.00084295 0.0031585 47 8
1.2739 0.79028 0.00056299 0.0031762 48 8
1.2755 0.78931 0.00029755 0.0031883 49 8
1.276 0.78899 0.00017215 0.003193 50 8
0.76602 1.3112 0.00017325 -0.0050423 0 9
0.76651 1.3104 0.00022666 -0.0050426 1 9
0.76797 1.3079 0.00037969 -0.0050177 2 9
0.77038 1.3038 0.00057572 -0.00495 3 9
0.77373 1.2982 0.00076775 -0.0048483 4 9
0.77801 1.291 0.00095726 -0.004713 5 9
0.7832 1.2825 0.0011439 -0.0045441 6 9
0.7893 1.2726 0.0013289 -0.0043439 7 9
0.79627 1.2615 0.0015135 -0.0041154 8 9
0.80409 1.2493 0.0016982 -0.0038622 9 9
0.81273 1.236 0.0018826 -0.0035881 10 9
0.82217 1.2219 0.0020659 -0.0032968 11 9
0.83236 1.207 0.002247 -0.0029923 12 9
0.84327 1.1914 0.0024246 -0.0026781 13 9
0.85486 1.1753 0.002597 -0.0023579 14 9
0.86709 1.1588 0.002763 -0.002035 15 9
0.8799 1.142 0.0029209 -0.0017126 16 9
0.89325 1.125 0.0030693 -0.0013933 17 9
0.90709 1.1079 0.0032066 -0.0010794 18 9
0.92136 1.0908 0.0033314 -0.0007728 19 9
0.936 1.0738 0.0034425 -0.0004749 20 9
0.95095 1.057 0.003539 -0.000187 21 9
0.96617 1.0404 0.0036198 8.9893e-05 22 9
0.98157 1.0242 0.0036841 0.00035513 23 9
0.99711 1.0083 0.0037316 0.00060824 24 9
1.0127 0.99281 0.0037619 0.00084905 25 9
1.0283 0.97781 0.0037745 0.0010775 26 9
1.0439 0.9633 0.0037695 0.0012935 27 9
1.0594 0.94933 0.0037468 0.0014973 28 9
1.0746 0.93591 0.0037069 0.0016893 29 9
1.0896 0.92307 0.0036502 0.0018697 30 9
1.1044 0.91083 0.0035771 0.0020384 31 9
1.1187 0.8992 0.003488 0.0021957 32 9
1.1327 0.88819 0.0033836 0.0023421 33 9
1.1461 0.87781 0.0032644 0.0024777 34 9
1.1591 0.86806 0.0031313 0.0026029 35 9
1.1715 0.85895 0.0029848 0.0027181 36 9
1.1832 0.85048 0.0028257 0.0028234 37 9
1.1942 0.84265 0.0026547 0.0029194 38 9
1.2046 0.83546 0.0024727 0.0030063 39 9
1.2142 0.8289 0.0022806 0.0030845 40 9
1.223 0.82298 0.0020795 0.0031542 41 9
1.2309 0.81769 0.0018704 0.0032159 42 9
1.238 0.81303 0.001654 0.0032698 43 9
1.2442 0.809 0.0014307 0.0033165 44 9
1.2495 0.8056 0.001201 0.0033563 45 9
1.2539 0.80282 0.00096494 0.0033895 46 9
1.2573 0.80066 0.00072502 0.0034162 47 9
1.2598 0.7991 0.00048432 0.0034364 48 9
1.2612 0.79816 0.00025781 0.0034501 49 9
1.2617 0.79785 0.00015166 0.0034553 50 9
0.78317 1.2825 0.00013955 -0.0052129 0 10
0.78363 1.2818 0.00016975 -0.0052119 1 10
0.78499 1.2795 0.0002717 -0.0051853 2 10
0.78724 1.2759 0.00041304 -0.0051169 3 10
0.79037 1.2709 0.00055178 -0.005015 4 10
0.79437 1.2645 0.00068921 -0.0048797 5 10
0.79923 1.2568 0.00082581 -0.0047113 6 10
0.80492 1.2479 0.00096295 -0.0045116 7 10
0.81144 1.2379 0.0011016 -0.0042836 8 10
0.81875 1.2269 0.0012423 -0.0040305 9 10
0.82684 1.215 0.0013851 -0.0037559 10 10
